행정구역,2024년_계_60~69세,2024년_계_70~79세,2024년_계_80~89세,2024년_계_90~99세,2024년_계_100세 이상
서울특별시 관악구 (1162000000),"60,569","38,976","18,024","1,983",50
서울특별시 관악구 보라매동(1162052500),"3,354","2,187","1,030",133,3
서울특별시 관악구 청림동(1162054500),"2,036","1,277",688,103,2
서울특별시 관악구 성현동(1162056500),"3,966","2,613","1,272",128,5
서울특별시 관악구 행운동(1162057500),"3,231","2,172",939,94,2
서울특별시 관악구 낙성대동(1162058500),"1,383",920,501,52,2
서울특별시 관악구 청룡동(1162059500),"3,374","2,312",995,118,3
서울특별시 관악구 은천동(1162060500),"4,359","2,933","1,319",142,3
서울특별시 관악구 중앙동(1162061500),"1,613","1,137",586,55,1
서울특별시 관악구 인헌동(1162062500),"2,996","1,972",940,78,2
서울특별시 관악구 남현동(1162063000),"2,266","1,412",612,75,2
서울특별시 관악구 서원동(1162064500),"2,507","1,612",770,67,1
서울특별시 관악구 신원동(1162065500),"2,194","1,524",804,79,3
서울특별시 관악구 서림동(1162066500),"2,795","1,748",792,93,5
서울특별시 관악구 신사동(1162068500),"2,653","1,699",813,83,2
서울특별시 관악구 신림동(1162069500),"1,468",933,425,40,1
서울특별시 관악구 난향동(1162071500),"2,210","1,384",582,69,1
서울특별시 관악구 조원동(1162072500),"2,446","1,466",632,73,4
서울특별시 관악구 대학동(1162073500),"2,627","1,448",714,79,2
서울특별시 관악구 삼성동(1162074500),"3,956","2,549","1,244",164,2
서울특별시 관악구 미성동(1162076500),"4,753","2,983","1,187",120,2
서울특별시 관악구 난곡동(1162077500),"4,382","2,695","1,179",138,2
