"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상"
"서울특별시  (1100000000)","9,331,828","9,331,828","483,780","720,767","1,308,260","1,442,665","1,383,950","1,486,068","1,326,239","773,771","355,250","49,594","1,484"
"서울특별시 종로구 (1111000000)","138,336","138,336","5,511","9,378","20,963","19,754","18,487","23,376","21,016","11,867","6,837","1,106","41"
"서울특별시 중구 (1114000000)","120,544","120,544","5,316","5,883","16,777","21,596","16,416","18,580","18,409","10,845","5,774","926","22"
"서울특별시 용산구 (1117000000)","203,854","203,854","10,250","12,916","27,775","36,786","29,357","32,657","28,488","15,450","8,656","1,467","52"
"서울특별시 성동구 (1120000000)","273,669","273,669","15,974","17,331","38,953","46,424","39,754","43,452","38,618","21,093","10,635","1,401","34"
"서울특별시 광진구 (1121500000)","331,963","331,963","14,098","22,986","56,887","55,354","46,529","52,263","46,029","24,724","11,469","1,577","47"
"서울특별시 동대문구 (1123000000)","338,735","338,735","17,174","22,270","55,543","50,145","47,253","51,914","48,622","29,361","14,531","1,872","50"
"서울특별시 중랑구 (1126000000)","379,274","379,274","17,793","23,268","47,546","58,262","51,810","63,359","64,182","35,234","15,744","2,016","60"
"서울특별시 성북구 (1129000000)","421,560","421,560","22,495","33,973","63,499","55,832","60,897","70,765","58,651","34,744","18,184","2,455","65"
"서울특별시 강북구 (1130500000)","283,597","283,597","10,554","18,405","36,202","34,602","37,947","49,733","48,077","30,719","15,559","1,755","44"
"서울특별시 도봉구 (1132000000)","303,228","303,228","12,967","21,597","35,652","37,405","40,743","53,292","53,474","30,684","15,278","2,075","61"
"서울특별시 노원구 (1135000000)","491,247","491,247","24,492","45,416","64,147","60,798","71,901","85,830","73,322","41,842","20,282","3,121","96"
"서울특별시 은평구 (1138000000)","460,919","460,919","22,056","34,299","59,286","66,321","67,227","77,598","69,457","41,465","20,583","2,558","69"
"서울특별시 서대문구 (1141000000)","302,853","302,853","16,407","21,711","46,822","44,821","42,811","48,522","41,751","24,415","13,677","1,847","69"
"서울특별시 마포구 (1144000000)","361,417","361,417","19,399","25,945","57,211","64,467","55,557","56,204","42,906","24,283","13,408","1,990","47"
"서울특별시 양천구 (1147000000)","430,976","430,976","23,903","46,832","49,788","52,579","70,646","73,856","63,133","34,627","13,475","2,072","65"
"서울특별시 강서구 (1150000000)","556,171","556,171","28,860","40,759","75,441","96,299","83,837","82,581","80,424","46,217","18,757","2,910","86"
"서울특별시 구로구 (1153000000)","388,169","388,169","21,066","27,523","48,308","60,988","56,458","61,376","58,921","36,195","15,370","1,911","53"
"서울특별시 금천구 (1154500000)","225,159","225,159","9,026","12,425","33,570","38,518","28,335","36,401","36,880","20,152","8,750","1,067","35"
"서울특별시 영등포구 (1156000000)","373,773","373,773","20,788","22,564","55,378","72,883","52,833","54,746","49,446","29,081","14,068","1,926","60"
"서울특별시 동작구 (1159000000)","375,799","375,799","18,625","25,190","62,110","60,801","52,671","57,102","50,843","31,386","14,930","2,076","65"
"서울특별시 관악구 (1162000000)","477,812","477,812","15,023","24,096","103,855","90,812","59,200","65,224","60,569","38,976","18,024","1,983","50"
"서울특별시 서초구 (1165000000)","408,376","408,376","26,634","44,789","48,973","57,116","70,881","66,402","48,526","30,398","12,664","1,931","62"
"서울특별시 강남구 (1168000000)","557,345","557,345","33,160","63,527","66,304","81,291","100,892","87,915","64,239","41,309","16,099","2,526","83"
"서울특별시 송파구 (1171000000)","650,110","650,110","41,140","56,850","81,042","105,894","104,729","100,004","89,615","49,551","18,307","2,891","87"
"서울특별시 강동구 (1174000000)","476,942","476,942","31,069","40,834","56,228","72,917","76,779","72,916","70,641","39,153","14,189","2,135","81"
